iter	Passed	Remaining
408	4688	6774
409	4700	6763
410	4710	6751
411	4721	6738
412	4733	6727
413	4744	6715
414	4755	6703
415	4766	6691
416	4777	6679
417	4788	6667
418	4799	6655
419	4811	6643
420	4821	6631
421	4833	6620
422	4844	6608
423	4856	6597
424	4869	6587
425	4880	6575
426	4891	6564
427	4902	6552
428	4914	6541
429	4925	6529
430	4937	6518
431	4950	6508
432	4962	6497
433	4973	6486
434	4984	6474
435	4995	6462
436	5006	6450
437	5018	6439
438	5029	6426
439	5040	6414
440	5050	6402
441	5062	6390
442	5073	6378
443	5084	6366
444	5095	6354
445	5106	6343
446	5117	6330
447	5127	6318
448	5139	6306
449	5150	6294
450	5161	6283
451	5172	6271
452	5183	6259
453	5194	6247
454	5204	6234
455	5215	6222
456	5226	6210
457	5237	6198
458	5250	6188
459	5261	6175
460	5272	6164
461	5283	6152
462	5294	6140
463	5305	6128
464	5316	6116
465	5327	6105
466	5339	6094
467	5350	6082
468	5362	6071
469	5373	6059
470	5384	6047
471	5395	6035
472	5406	6024
473	5417	6012
474	5428	6000
475	5440	5989
476	5451	5977
477	5462	5965
478	5474	5954
479	5485	5942
480	5496	5931
481	5507	5919
482	5518	5907
483	5529	5895
484	5540	5882
485	5550	5870
486	5560	5857
487	5572	5846
488	5583	5834
489	5594	5822
490	5605	5810
491	5616	5798
492	5626	5786
493	5637	5774
494	5648	5762
495	5658	5749
496	5669	5738
497	5680	5726
498	5691	5714
499	5702	5702
500	5713	5690
501	5724	5679
502	5737	5668
503	5748	5657
504	5759	5645
505	5770	5633
506	5781	5621
507	5791	5609
508	5802	5597
509	5813	5585
510	5824	5573
511	5835	5561
512	5845	5549
513	5856	5537
514	5866	5525
515	5877	5513
516	5888	5501
517	5900	5490
518	5911	5478
519	5922	5466
520	5933	5455
521	5945	5444
522	5956	5432
523	5967	5421
524	5978	5409
525	5990	5397
526	6002	5387
527	6013	5375
528	6023	5363
529	6035	5352
530	6047	5341
531	6058	5329
532	6071	5319
533	6082	5308
534	6094	5297
535	6105	5285
536	6117	5274
537	6129	5263
538	6140	5252
539	6151	5240
540	6162	5228
541	6173	5216
542	6184	5205
543	6195	5193
544	6205	5181
545	6217	5169
546	6229	5158
547	6240	5147
548	6251	5135
549	6262	5123
550	6272	5111
551	6283	5099
552	6294	5088
553	6305	5076
554	6316	5064
555	6327	5052
556	6337	5040
557	6349	5029
558	6360	5018
559	6372	5006
560	6383	4995
561	6395	4984
562	6406	4972
563	6417	4961
564	6429	4950
565	6441	4938
566	6451	4926
567	6463	4915
568	6475	4905
569	6486	4893
570	6498	4882
571	6510	4871
572	6521	4860
573	6532	4848
574	6543	4836
575	6554	4824
576	6566	4814
577	6577	4802
578	6587	4790
579	6598	4778
580	6608	4766
581	6619	4753
582	6630	4742
583	6640	4730
584	6651	4718
585	6661	4706
586	6672	4694
587	6683	4683
588	6694	4671
589	6704	4659
590	6715	4647
591	6727	4636
592	6738	4624
593	6749	4613
594	6759	4600
595	6770	4589
596	6781	4577
597	6792	4566
598	6802	4554
599	6813	4542
600	6823	4530
601	6834	4518
602	6845	4506
603	6855	4494
604	6866	4482
605	6876	4471
606	6888	4459
607	6899	4448
608	6910	4436
609	6920	4424
610	6931	4412
611	6941	4401
612	6952	4389
613	6962	4377
614	6973	4365
615	6983	4353
616	6994	4342
617	7005	4330
618	7015	4317
619	7026	4306
620	7037	4294
621	7047	4283
622	7059	4272
623	7070	4260
624	7081	4248
625	7092	4237
626	7103	4225
627	7114	4214
628	7124	4202
629	7134	4190
630	7145	4178
631	7156	4166
632	7167	4155
633	7178	4143
634	7189	4132
635	7200	4120
636	7211	4109
637	7223	4098
638	7233	4086
639	7244	4074
640	7254	4063
641	7266	4051
642	7277	4040
643	7288	4028
644	7299	4017
645	7309	4005
646	7321	3994
647	7331	3982
648	7342	3970
649	7352	3959
650	7363	3947
651	7374	3936
652	7385	3924
653	7396	3913
654	7407	3901
655	7417	3889
656	7428	3878
657	7438	3866
658	7449	3854
659	7460	3843
660	7471	3831
661	7482	3820
662	7493	3808
663	7504	3797
664	7515	3785
665	7525	3773
666	7536	3762
667	7547	3751
668	7558	3739
669	7568	3727
670	7579	3716
671	7590	3704
672	7600	3692
673	7611	3681
674	7622	3670
675	7633	3658
676	7643	3646
677	7654	3635
678	7664	3623
679	7674	3611
680	7685	3600
681	7696	3588
682	7706	3577
683	7717	3565
684	7728	3554
685	7738	3542
686	7749	3530
687	7760	3519
688	7771	3507
689	7782	3496
690	7792	3484
691	7803	3473
692	7813	3461
693	7824	3449
694	7834	3438
695	7845	3426
696	7856	3415
697	7867	3404
698	7878	3392
699	7888	3380
700	7900	3369
701	7910	3358
702	7920	3346
703	7931	3334
704	7942	3323
705	7953	3312
706	7964	3300
707	7975	3289
708	7986	3277
709	7997	3266
710	8007	3255
711	8018	3243
712	8028	3231
713	8039	3220
714	8050	3208
715	8060	3197
716	8071	3185
717	8081	3174
718	8091	3162
719	8102	3150
720	8113	3139
721	8123	3127
722	8134	3116
723	8145	3105
724	8156	3093
725	8168	3082
726	8179	3071
727	8190	3060
728	8201	3048
729	8214	3038
730	8225	3026
731	8235	3015
732	8246	3003
733	8257	2992
734	8268	2981
735	8278	2969
736	8289	2958
737	8300	2946
738	8311	2935
739	8322	2924
740	8333	2912
741	8344	2901
742	8354	2889
743	8364	2878
744	8376	2867
745	8386	2855
746	8397	2844
747	8408	2832
748	8418	2821
749	8429	2809
750	8440	2798
751	8450	2786
752	8460	2775
753	8471	2763
754	8481	2752
755	8492	2740
756	8503	2729
757	8513	2718
758	8523	2706
759	8534	2695
760	8544	2683
761	8555	2672
762	8565	2660
763	8576	2649
764	8587	2637
765	8597	2626
766	8608	2615
767	8618	2603
768	8629	2592
769	8639	2580
770	8650	2569
771	8660	2557
772	8671	2546
773	8681	2535
