,model,degree,R2_train,R2_test,RMSE_train,RMSE_test,MAE_train,MAE_test
0,Poly (deg=1),1,0.5136429221107288,0.5137729946154257,0.8071992448356562,0.7988694799962514,0.6002444905825204,0.5960201675946686
1,Poly (deg=2),2,0.550742762022121,0.5341669607378602,0.7758015948482635,0.7819364089082875,0.5748421923297234,0.573096383505129
2,Poly (deg=3),3,0.6142010915448681,0.1790894690691992,0.7189250626945741,1.0380163759659329,0.5208748956086201,0.5376542656475881
3,RandomForestRegressor,0,0.9537884855523899,0.6487295444457319,0.24881595611686294,0.6790114591117177,0.17746912416251442,0.4856287097141474
