iter	Logloss
0	0.6042036979
1	0.5294220293
2	0.4674951228
3	0.4165651941
4	0.3702329844
5	0.3346671853
6	0.3031590346
7	0.2752504658
8	0.2524744157
9	0.2336776836
10	0.2154717658
11	0.1998745181
12	0.1893067028
13	0.177878688
14	0.1680315742
15	0.1597490162
16	0.1530400631
17	0.146369309
18	0.141463912
19	0.1366426346
20	0.1318688948
21	0.1283334424
22	0.1246588358
23	0.1215490626
24	0.1187530196
25	0.1165346875
26	0.1145149247
27	0.1124534902
28	0.1109648538
29	0.1092680122
30	0.1076826074
31	0.1062995065
32	0.1049492282
33	0.1041246598
34	0.1030675371
35	0.1019215137
36	0.1011422136
37	0.1003457286
38	0.09939680441
39	0.0988493696
40	0.0981405344
41	0.09734564727
42	0.09664378475
43	0.09578963863
44	0.09531904861
45	0.09480914793
46	0.09445388598
47	0.09400284044
48	0.09345731371
49	0.09324635058
50	0.09292572085
51	0.09245125644
52	0.09207384679
53	0.09181014157
54	0.09165751699
55	0.09136595527
56	0.09110092677
57	0.09071674208
58	0.0903785837
59	0.09007071134
60	0.08979718339
61	0.08958485433
62	0.08933969425
63	0.08920383946
64	0.08898834738
65	0.08871631881
66	0.0885046398
67	0.08833762404
68	0.08807575738
69	0.08788106781
70	0.08773328876
71	0.08761560644
72	0.08743858346
73	0.08728127909
74	0.0870992113
75	0.08698716284
76	0.08685914665
77	0.08675164567
78	0.08668314965
79	0.08644830923
80	0.08633078345
81	0.08616444911
82	0.08603420924
83	0.0859452827
84	0.08587720685
85	0.08583014643
86	0.08574021624
87	0.08564792833
88	0.0855285414
89	0.08544038966
90	0.085255609
91	0.08517312199
92	0.08505801745
93	0.08498584296
94	0.08494020161
95	0.08487914549
96	0.08476824435
97	0.0846038418
98	0.084517882
99	0.08439821094
100	0.08432767076
101	0.08420769193
102	0.08413540748
103	0.08405033123
104	0.0840176197
105	0.08391686919
106	0.08380575972
107	0.08371919974
108	0.08361986902
109	0.08356010044
110	0.08350895908
111	0.08344265853
112	0.08339422758
113	0.08335477375
114	0.08331350543
115	0.08325224739
116	0.08319224703
117	0.0831127991
118	0.08301233075
119	0.08294161813
120	0.08286451836
121	0.08280571293
122	0.08268748476
123	0.08262334787
124	0.08255966878
125	0.08250349854
126	0.08242228089
127	0.08232246554
128	0.08227285104
129	0.08218880993
130	0.08213192715
131	0.08208775136
132	0.08201537187
133	0.08197715208
134	0.08190842091
135	0.08184608628
136	0.08181767663
137	0.08172674359
138	0.08165483504
139	0.08159387363
140	0.08151961264
141	0.08145247018
142	0.08135332112
143	0.0813158644
144	0.08126300145
145	0.08121410544
146	0.08115437526
147	0.08108299448
148	0.08098683901
149	0.08091818458
150	0.0808197299
151	0.0807418437
152	0.08068262996
153	0.08060644816
154	0.08053134472
155	0.08048250498
156	0.08043360769
157	0.08039984588
158	0.08034289857
159	0.08027240377
160	0.08016512518
161	0.08014787818
162	0.08007346919
163	0.07998017579
164	0.07991745256
165	0.07988547993
166	0.07983693591
167	0.07975852877
168	0.07967241843
169	0.07961857476
170	0.07955157169
171	0.07946426263
172	0.07941075207
173	0.07939371443
174	0.07935589825
175	0.07929764684
176	0.07920303969
177	0.07916217374
178	0.07911017841
179	0.07903159457
180	0.07898856058
181	0.07891321922
182	0.07889043329
183	0.07884092604
184	0.07881083982
185	0.07877264335
186	0.07871017241
187	0.07864996863
188	0.07861467214
189	0.07854101013
190	0.07849562695
191	0.07843997816
192	0.07838993743
193	0.07833325649
194	0.07826680877
195	0.0781736267
196	0.07809467411
197	0.07804137556
198	0.07798389168
199	0.07794815636
200	0.07788991401
201	0.07784005411
202	0.07779312633
203	0.07777536529
204	0.0777361962
205	0.07769090242
206	0.07763292371
207	0.07760022402
208	0.07755081306
209	0.07747751471
210	0.07745247362
211	0.07740661106
212	0.07735951919
213	0.0772955139
214	0.07724313574
215	0.07722366981
216	0.07719003283
217	0.07716812785
218	0.07713682503
219	0.07705339764
220	0.07702589031
221	0.07698949732
222	0.0769233958
223	0.07688725017
224	0.07681375634
225	0.07675892311
226	0.0767092881
227	0.07664553021
228	0.07657088024
229	0.07651907734
230	0.07648246347
231	0.07644394653
232	0.07640914715
233	0.07638399027
234	0.07635738968
235	0.07631210739
236	0.07629066438
237	0.07625520076
238	0.07622773798
239	0.07620608958
240	0.07614032697
241	0.07612012402
242	0.07607848581
243	0.07600217927
244	0.07595108233
245	0.07590999188
246	0.07588147286
247	0.07585091683
248	0.07581039098
249	0.07573413591
250	0.07564007914
251	0.07558855375
252	0.0755639111
253	0.0755151242
254	0.07543809885
255	0.07535665039
256	0.07526825177
257	0.07524003386
258	0.07522142356
259	0.07519536482
260	0.07512319659
261	0.07503105239
262	0.07500521593
263	0.0749637891
264	0.07489298766
265	0.07485953049
266	0.07477100971
267	0.07470343103
268	0.07465365917
269	0.0746358545
270	0.07456591065
271	0.07446330924
272	0.07442163851
273	0.07440257949
274	0.07439238747
275	0.07434397118
276	0.07430682789
277	0.07427056846
278	0.07419328678
279	0.07416586245
280	0.07411870995
281	0.07405611464
282	0.07401158457
283	0.07395598939
284	0.0738751617
285	0.07384954854
286	0.0738312259
287	0.07378725526
288	0.07372022929
289	0.07366968066
290	0.07362561061
291	0.07355377784
292	0.07350253254
293	0.07348638226
294	0.07340299422
295	0.07338453054
296	0.07332757553
297	0.07331346491
298	0.07324259035
299	0.07320030107
300	0.07310891322
301	0.07305891778
302	0.07299106729
303	0.07294633343
304	0.07288480294
305	0.07284393549
306	0.07282725137
307	0.07276619999
308	0.07273842553
309	0.07272097057
310	0.07269926657
311	0.07263828201
312	0.07260988305
313	0.07252792304
314	0.07249780466
315	0.0724248369
316	0.07238011251
317	0.07235295187
318	0.07228114235
319	0.07220070368
