iter	Passed	Remaining
0	13	13768
1	25	12858
2	38	12731
3	51	12740
4	64	12791
5	79	13144
6	91	13026
7	103	12807
8	114	12614
9	125	12441
10	138	12451
11	150	12405
12	162	12318
13	174	12277
14	185	12161
15	196	12088
16	208	12036
17	218	11947
18	230	11890
19	241	11823
20	252	11763
21	263	11702
22	274	11667
23	285	11612
24	297	11583
25	308	11568
26	320	11533
27	331	11509
28	342	11475
29	353	11429
30	365	11420
31	377	11427
32	389	11425
33	400	11387
34	411	11352
35	423	11335
36	434	11301
37	448	11343
38	460	11350
39	472	11344
40	482	11282
41	493	11253
42	505	11243
43	516	11214
44	526	11176
45	538	11176
46	553	11217
47	566	11240
48	578	11237
49	591	11237
50	603	11225
51	615	11216
52	627	11206
53	637	11173
54	651	11192
55	663	11192
56	677	11200
57	689	11195
58	702	11199
59	713	11173
60	723	11143
61	735	11122
62	746	11100
63	758	11096
64	771	11099
65	783	11093
66	795	11073
67	806	11048
68	819	11052
69	831	11049
70	842	11021
71	869	11209
72	881	11188
73	891	11158
74	902	11136
75	913	11106
76	925	11090
77	938	11096
78	951	11094
79	963	11079
80	974	11058
81	986	11042
82	997	11020
83	1009	11013
84	1022	11009
85	1033	10988
86	1044	10964
87	1056	10945
88	1067	10930
89	1079	10913
90	1092	10913
91	1105	10910
92	1117	10898
93	1128	10875
94	1140	10864
95	1153	10863
96	1165	10851
97	1177	10835
98	1190	10830
99	1204	10840
100	1218	10848
101	1230	10837
102	1242	10824
103	1255	10817
104	1270	10830
105	1289	10874
106	1310	10938
107	1326	10953
108	1343	10982
109	1360	11005
110	1378	11037
111	1391	11029
112	1404	11027
113	1419	11030
114	1433	11035
115	1451	11059
116	1466	11069
117	1480	11064
118	1494	11066
119	1507	11054
120	1521	11051
121	1533	11039
122	1547	11031
123	1559	11019
124	1571	11000
125	1583	10984
126	1596	10972
127	1608	10959
128	1619	10936
129	1632	10927
130	1645	10914
131	1657	10900
132	1669	10885
133	1682	10875
134	1696	10870
135	1710	10866
136	1723	10856
137	1737	10851
138	1751	10849
139	1765	10847
140	1781	10851
141	1799	10870
142	1814	10875
143	1829	10872
144	1843	10869
145	1862	10894
146	1885	10939
147	1903	10956
148	1919	10963
149	1936	10974
150	1954	10989
151	1971	10998
152	1989	11011
153	2006	11025
154	2023	11033
155	2041	11042
156	2057	11047
157	2073	11048
158	2089	11049
159	2106	11061
160	2124	11070
161	2142	11080
162	2159	11090
163	2178	11107
164	2200	11134
165	2218	11147
166	2237	11160
167	2253	11161
168	2270	11162
169	2288	11173
170	2306	11183
171	2328	11210
172	2348	11227
173	2362	11216
174	2380	11222
175	2395	11214
176	2409	11204
177	2424	11196
178	2436	11177
179	2451	11166
180	2465	11155
181	2483	11161
182	2498	11156
183	2511	11140
184	2528	11137
185	2540	11120
186	2553	11102
187	2566	11085
188	2580	11071
189	2595	11065
190	2611	11059
191	2622	11038
192	2635	11019
193	2647	11000
194	2660	10981
195	2672	10963
196	2686	10950
197	2701	10942
198	2715	10930
199	2730	10921
200	2743	10907
201	2757	10894
202	2771	10880
203	2784	10864
204	2796	10846
205	2810	10833
206	2824	10820
207	2836	10802
208	2850	10789
209	2865	10778
210	2878	10762
211	2892	10750
212	2904	10732
213	2916	10712
214	2927	10689
215	2939	10668
216	2950	10647
217	2962	10626
218	2974	10605
219	2985	10584
220	2996	10563
221	3008	10545
222	3021	10528
223	3033	10509
224	3045	10491
225	3057	10471
226	3069	10453
227	3081	10434
228	3094	10417
229	3106	10399
230	3119	10383
231	3132	10369
232	3144	10351
233	3156	10332
234	3168	10315
235	3181	10300
236	3193	10280
237	3205	10263
238	3218	10246
239	3231	10231
240	3244	10218
241	3258	10206
242	3272	10195
243	3286	10183
244	3300	10171
245	3313	10155
246	3327	10143
247	3339	10126
248	3352	10112
249	3367	10101
250	3380	10086
251	3395	10079
252	3408	10062
253	3420	10045
254	3433	10030
255	3445	10013
256	3458	9998
257	3471	9982
258	3483	9966
259	3494	9946
260	3509	9936
261	3521	9919
262	3534	9905
263	3545	9885
264	3558	9869
265	3572	9858
266	3587	9848
267	3601	9837
268	3615	9823
269	3627	9806
270	3640	9794
271	3655	9783
272	3668	9769
273	3680	9752
274	3693	9736
275	3706	9722
276	3720	9709
277	3733	9696
278	3746	9682
279	3758	9663
280	3771	9650
281	3784	9636
282	3799	9626
283	3815	9619
284	3913	9818
285	3948	9857
286	3973	9871
287	3992	9871
288	4012	9871
289	4037	9885
290	4058	9887
291	4078	9888
292	4096	9885
293	4114	9880
294	4134	9881
295	4155	9883
296	4171	9873
297	4186	9863
298	4203	9854
299	4222	9851
300	4243	9853
301	4260	9846
302	4276	9838
303	4292	9828
304	4309	9820
305	4328	9815
306	4344	9806
307	4362	9800
308	4377	9789
309	4393	9780
310	4412	9774
311	4426	9761
312	4448	9764
313	4465	9755
314	4481	9744
315	4498	9736
316	4514	9726
317	4530	9717
318	4551	9717
319	4570	9711
320	4589	9708
321	4607	9702
322	4624	9692
323	4640	9682
324	4654	9667
325	4669	9653
326	4684	9641
327	4699	9628
328	4714	9615
329	4729	9602
330	4744	9588
331	4759	9576
332	4774	9564
333	4790	9552
334	4804	9538
335	4820	9527
336	4838	9519
337	4859	9517
338	4880	9516
339	4913	9537
340	4936	9540
341	4953	9530
342	4970	9520
343	4986	9509
344	5006	9504
345	5026	9500
346	5044	9493
347	5062	9484
348	5079	9474
349	5096	9464
350	5114	9456
351	5133	9450
352	5151	9442
353	5171	9437
354	5190	9429
355	5214	9432
356	5234	9428
357	5252	9419
358	5270	9410
359	5287	9399
360	5309	9398
361	5328	9390
362	5352	9393
363	5394	9424
364	5422	9433
365	5448	9437
366	5479	9450
367	5496	9439
368	5509	9421
369	5523	9404
370	5538	9390
371	5556	9380
372	5569	9362
373	5585	9349
374	5600	9334
375	5616	9320
376	5631	9305
377	5646	9291
378	5663	9279
379	5685	9275
380	5705	9270
381	5725	9263
382	5745	9255
383	5765	9248
384	5785	9241
385	5807	9237
386	5828	9231
387	5847	9222
388	5870	9220
389	5894	9220
390	5921	9223
391	5936	9208
392	5953	9195
393	5967	9178
394	5982	9162
395	5997	9147
396	6011	9130
397	6025	9113
398	6040	9098
399	6056	9085
400	6073	9072
401	6089	9057
402	6105	9044
403	6123	9033
404	6137	9017
405	6154	9004
406	6169	8988
407	6182	8970
408	6195	8951
409	6207	8933
410	6221	8915
411	6234	8898
412	6247	8879
413	6259	8860
414	6272	8841
415	6284	8822
416	6299	8807
417	6314	8791
418	6330	8777
419	6346	8764
420	6361	8748
421	6375	8732
422	6390	8716
423	6404	8700
424	6424	8692
425	6445	8684
426	6467	8679
427	6494	8679
428	6515	8672
429	6541	8670
430	6562	8663
431	6579	8651
432	6595	8636
433	6610	8620
434	6625	8605
435	6642	8592
436	6662	8583
437	6680	8571
438	6697	8558
439	6711	8542
440	6727	8527
441	6742	8511
442	6756	8494
443	6770	8478
444	6788	8466
445	6806	8454
446	6826	8444
447	6847	8437
448	6866	8426
449	6887	8418
450	6907	8409
451	6927	8399
452	6948	8390
453	6966	8377
454	6986	8368
455	7005	8357
456	7021	8342
457	7037	8328
458	7054	8315
459	7075	8305
460	7090	8290
461	7105	8274
462	7122	8261
463	7136	8244
464	7152	8228
465	7166	8212
466	7182	8197
467	7199	8183
468	7215	8169
469	7231	8154
470	7249	8141
471	7266	8129
472	7282	8113
473	7295	8096
474	7310	8080
475	7325	8064
476	7339	8047
477	7353	8030
478	7368	8014
479	7383	7998
480	7398	7983
481	7412	7966
482	7426	7949
483	7441	7933
484	7455	7916
485	7473	7903
486	7493	7893
487	7509	7878
488	7525	7864
489	7543	7851
490	7561	7838
491	7579	7826
492	7596	7812
493	7617	7802
494	7633	7787
495	7649	7772
496	7662	7755
497	7676	7738
498	7692	7723
499	7708	7708
500	7726	7695
501	7745	7684
502	7763	7670
503	7777	7654
504	7791	7637
505	7808	7622
506	7826	7610
507	7841	7594
508	7856	7578
509	7873	7564
510	7889	7550
511	7904	7534
512	7923	7521
513	7940	7508
514	7958	7495
515	7979	7484
516	8005	7479
517	8021	7464
518	8041	7452
519	8061	7441
520	8077	7426
521	8103	7420
522	8123	7409
523	8142	7396
524	8159	7382
525	8176	7368
526	8197	7357
527	8213	7342
528	8233	7330
529	8254	7319
530	8271	7305
531	8289	7292
532	8306	7277
533	8326	7266
534	8346	7254
535	8364	7241
536	8380	7225
537	8395	7209
538	8413	7196
539	8429	7181
540	8445	7165
541	8461	7150
542	8478	7135
543	8494	7120
544	8510	7105
545	8530	7092
546	8547	7078
547	8564	7064
548	8585	7052
549	8601	7037
550	8640	7041
551	8666	7033
552	8698	7031
553	8719	7019
554	8737	7005
555	8755	6991
556	8775	6979
557	8797	6968
558	8813	6952
559	8828	6936
560	8850	6925
561	8874	6916
562	8907	6913
563	8938	6910
564	8956	6895
565	8976	6882
566	8996	6870
567	9014	6856
568	9028	6838
569	9044	6823
570	9064	6810
571	9079	6793
572	9096	6778
573	9111	6762
574	9124	6744
575	9140	6728
576	9158	6713
577	9171	6696
578	9186	6679
579	9201	6663
580	9217	6647
581	9233	6631
582	9248	6615
583	9263	6598
584	9282	6584
585	9298	6569
586	9313	6552
587	9329	6536
588	9344	6520
589	9358	6503
590	9371	6485
591	9386	6468
592	9401	6452
593	9415	6435
594	9430	6418
595	9444	6402
596	9460	6386
597	9473	6368
598	9490	6353
599	9506	6337
600	9521	6321
601	9537	6305
602	9553	6289
603	9567	6272
604	9580	6254
605	9592	6236
606	9609	6221
607	9625	6205
608	9641	6190
609	9657	6174
610	9671	6157
611	9687	6141
612	9702	6125
613	9719	6110
614	9733	6093
615	9748	6076
616	9764	6061
617	9779	6044
618	9795	6028
619	9810	6013
620	9826	5996
621	9840	5980
622	9856	5964
623	9871	5948
624	9887	5932
625	9903	5916
626	9919	5901
627	9935	5885
628	9950	5868
629	9965	5852
630	9983	5838
631	10006	5826
632	10024	5812
633	10041	5796
634	10059	5782
635	10074	5765
636	10091	5750
637	10107	5735
638	10131	5723
639	10144	5706
640	10161	5691
641	10180	5676
642	10196	5660
643	10212	5645
644	10228	5629
645	10243	5613
646	10258	5596
647	10272	5579
648	10286	5563
649	10301	5546
650	10318	5531
651	10334	5515
652	10350	5500
653	10367	5484
654	10385	5470
655	10400	5453
656	10413	5436
657	10428	5420
658	10443	5404
659	10457	5387
660	10473	5371
661	10489	5355
662	10506	5340
663	10521	5324
664	10536	5307
665	10549	5290
666	10565	5274
667	10580	5258
668	10596	5242
669	10610	5226
670	10626	5210
671	10641	5194
672	10658	5178
673	10673	5162
674	10690	5147
675	10706	5131
676	10720	5114
677	10736	5098
678	10748	5081
679	10764	5065
680	10781	5050
681	10797	5034
682	10813	5018
683	10831	5004
684	10848	4988
685	10862	4972
686	10878	4956
687	10893	4940
688	10908	4924
689	10924	4907
690	10939	4891
691	10954	4875
692	10969	4859
693	10985	4843
694	11000	4827
695	11014	4810
696	11033	4796
697	11048	4780
698	11063	4764
699	11077	4747
700	11091	4730
701	11107	4715
702	11123	4699
703	11142	4684
704	11170	4674
705	11200	4664
706	11231	4654
707	11252	4640
708	11280	4629
709	11302	4616
710	11319	4600
711	11333	4584
712	11348	4568
713	11365	4552
714	11379	4535
715	11394	4519
716	11409	4503
717	11422	4486
718	11438	4470
719	11453	4454
720	11469	4438
721	11485	4422
722	11501	4406
723	11516	4390
724	11530	4373
725	11544	4356
726	11561	4341
727	11577	4325
728	11592	4309
729	11607	4293
730	11621	4276
731	11635	4260
732	11650	4243
733	11665	4227
734	11679	4211
735	11695	4195
736	11709	4178
737	11722	4161
738	11737	4145
739	11752	4129
740	11767	4113
741	11783	4097
742	11798	4081
743	11814	4065
744	11829	4048
745	11844	4032
746	11858	4016
747	11873	4000
748	11887	3983
749	11902	3967
750	11914	3950
751	11930	3934
752	11945	3918
753	11960	3902
754	11975	3886
755	11990	3870
756	12005	3853
757	12020	3837
758	12035	3821
759	12052	3806
760	12066	3789
761	12081	3773
762	12096	3757
763	12110	3741
764	12127	3725
765	12143	3709
766	12159	3693
767	12176	3678
768	12191	3662
769	12208	3646
770	12224	3630
771	12240	3614
772	12257	3599
773	12274	3583
774	12289	3567
775	12305	3551
776	12320	3535
777	12337	3520
778	12353	3504
779	12369	3488
780	12387	3473
781	12403	3457
782	12420	3442
783	12437	3426
784	12455	3411
785	12473	3395
786	12489	3380
787	12505	3364
788	12523	3349
789	12544	3334
790	12561	3319
791	12577	3303
792	12593	3287
793	12608	3271
794	12621	3254
795	12637	3238
796	12653	3222
797	12670	3207
798	12687	3191
799	12705	3176
800	12720	3160
801	12736	3144
802	12752	3128
803	12769	3113
804	12785	3097
805	12801	3081
806	12816	3065
807	12831	3049
808	12846	3032
809	12863	3017
810	12880	3001
811	12897	2986
812	12913	2970
813	12930	2954
814	12949	2939
815	12970	2924
816	12990	2909
817	13008	2894
818	13025	2878
819	13042	2862
820	13061	2847
821	13078	2832
822	13093	2815
823	13108	2799
824	13124	2783
825	13139	2767
826	13155	2751
827	13172	2736
828	13186	2720
829	13202	2704
830	13216	2687
831	13230	2671
832	13247	2655
833	13262	2639
834	13278	2623
835	13295	2608
836	13311	2592
837	13327	2576
838	13345	2560
839	13364	2545
840	13388	2531
841	13404	2515
842	13431	2501
843	13450	2486
844	13467	2470
845	13482	2454
846	13500	2438
847	13518	2423
848	13534	2407
849	13549	2391
850	13563	2374
851	13578	2358
852	13591	2342
853	13605	2326
854	13619	2309
855	13633	2293
856	13648	2277
857	13664	2261
858	13680	2245
859	13699	2230
860	13721	2215
861	13747	2200
862	13770	2186
863	13796	2171
864	13818	2156
865	13841	2141
866	13864	2126
867	13884	2111
868	13903	2095
869	13922	2080
870	13941	2064
871	13960	2049
872	13978	2033
873	13997	2017
874	14016	2002
875	14035	1986
876	14053	1970
877	14071	1955
878	14090	1939
879	14108	1923
880	14127	1908
881	14143	1892
882	14161	1876
883	14179	1860
884	14195	1844
885	14213	1828
886	14232	1813
887	14253	1797
888	14270	1781
889	14289	1766
890	14308	1750
891	14325	1734
892	14339	1718
893	14354	1702
894	14374	1686
895	14394	1670
896	14418	1655
897	14437	1639
898	14464	1624
899	14490	1610
900	14511	1594
901	14532	1578
902	14555	1563
903	14577	1548
904	14594	1532
905	14610	1515
906	14629	1500
907	14652	1484
908	14675	1469
909	14691	1452
910	14707	1436
911	14723	1420
912	14740	1404
913	14759	1388
914	14776	1372
915	14794	1356
916	14810	1340
917	14828	1324
918	14847	1308
919	14863	1292
920	14880	1276
921	14897	1260
922	14916	1244
923	14934	1228
924	14956	1212
925	14975	1196
926	15014	1182
927	15042	1167
928	15069	1151
929	15088	1135
930	15112	1120
931	15130	1103
932	15147	1087
933	15166	1071
934	15183	1055
935	15199	1039
936	15214	1022
937	15230	1006
938	15253	990
939	15269	974
940	15285	958
941	15302	942
942	15318	925
943	15334	909
944	15352	893
945	15366	877
946	15380	860
947	15399	844
948	15414	828
949	15431	812
