iter	Passed	Remaining
950	15446	795
951	15461	779
952	15476	763
953	15492	747
954	15506	730
955	15521	714
956	15536	698
957	15551	681
958	15567	665
959	15581	649
960	15595	632
961	15610	616
962	15626	600
963	15641	584
964	15655	567
965	15669	551
966	15685	535
967	15701	519
968	15716	502
969	15731	486
970	15745	470
971	15761	454
972	15775	437
973	15789	421
974	15803	405
975	15819	389
976	15836	372
977	15853	356
978	15867	340
979	15882	324
980	15904	308
981	15932	292
982	15948	275
983	15963	259
984	15992	243
985	16007	227
986	16022	211
987	16037	194
988	16051	178
989	16067	162
990	16082	146
991	16098	129
992	16115	113
993	16131	97
994	16147	81
995	16162	64
996	16178	48
997	16194	32
998	16209	16
999	16224	0
